Logger started
[2026-04-13 21:10:33] sensor=30.0
[2026-04-13 21:10:34] sensor=23.4
[2026-04-13 21:10:35] sensor=36.4
[2026-04-13 21:10:36] sensor=32.4
[2026-04-13 21:10:37] sensor=31.4
[2026-04-13 21:10:38] sensor=38.7
[2026-04-13 21:10:39] sensor=25.6
[2026-04-13 21:10:40] sensor=34.3
[2026-04-13 21:10:41] sensor=29.1
[2026-04-13 21:10:42] sensor=22.7
[2026-04-13 21:10:43] sensor=36.5
[2026-04-13 21:10:44] sensor=25.9
[2026-04-13 21:10:45] sensor=33.6
[2026-04-13 21:10:46] sensor=23.2
[2026-04-13 21:10:47] sensor=35.1
[2026-04-13 21:10:48] sensor=23.7
[2026-04-13 21:10:49] sensor=22.8
[2026-04-13 21:10:50] sensor=27.5
[2026-04-13 21:10:51] sensor=20.7
[2026-04-13 21:10:52] sensor=27.4
[2026-04-13 21:10:54] sensor=32.1
[2026-04-13 21:10:55] sensor=25.8
[2026-04-13 21:10:56] sensor=39.5
[2026-04-13 21:10:57] sensor=22.9
[2026-04-13 21:10:58] sensor=23.7
[2026-04-13 21:10:59] sensor=23.5
[2026-04-13 21:11:00] sensor=39.3
[2026-04-13 21:11:01] sensor=21.8
[2026-04-13 21:11:02] sensor=22.8
[2026-04-13 21:11:03] sensor=34.3
[2026-04-13 21:11:04] sensor=21.1
[2026-04-13 21:11:05] sensor=32.8
[2026-04-13 21:11:06] sensor=32.9
[2026-04-13 21:11:07] sensor=37.6
[2026-04-13 21:11:08] sensor=20.4
[2026-04-13 21:11:09] sensor=24.3
[2026-04-13 21:11:10] sensor=36.3
[2026-04-13 21:11:11] sensor=21.3
[2026-04-13 21:11:12] sensor=33.8
[2026-04-13 21:11:13] sensor=20.6
[2026-04-13 21:11:14] sensor=24.0
[2026-04-13 21:11:15] sensor=30.4
[2026-04-13 21:11:16] sensor=21.8
[2026-04-13 21:11:17] sensor=32.8
[2026-04-13 21:11:18] sensor=28.8
[2026-04-13 21:11:19] sensor=36.9
[2026-04-13 21:11:20] sensor=31.7
[2026-04-13 21:11:21] sensor=31.7
[2026-04-13 21:11:22] sensor=39.6
[2026-04-13 21:11:23] sensor=32.4
[2026-04-13 21:11:24] sensor=34.3
[2026-04-13 21:11:25] sensor=27.0
[2026-04-13 21:11:26] sensor=38.3
[2026-04-13 21:11:27] sensor=29.0
[2026-04-13 21:11:28] sensor=29.9
[2026-04-13 21:11:29] sensor=37.2
[2026-04-13 21:11:30] sensor=32.5
[2026-04-13 21:11:31] sensor=24.4
[2026-04-13 21:11:32] sensor=39.0
[2026-04-13 21:11:33] sensor=30.5
[2026-04-13 21:11:34] sensor=33.9
[2026-04-13 21:11:35] sensor=35.4
[2026-04-13 21:11:36] sensor=38.6
[2026-04-13 21:11:37] sensor=26.9
[2026-04-13 21:11:38] sensor=28.2
[2026-04-13 21:11:39] sensor=34.2
[2026-04-13 21:11:40] sensor=26.4
[2026-04-13 21:11:41] sensor=39.7
[2026-04-13 21:11:42] sensor=30.7
[2026-04-13 21:11:43] sensor=35.5
[2026-04-13 21:11:44] sensor=20.4
[2026-04-13 21:11:45] sensor=34.8
[2026-04-13 21:11:46] sensor=21.1
[2026-04-13 21:11:47] sensor=22.2
[2026-04-13 21:11:48] sensor=22.8
[2026-04-13 21:11:49] sensor=29.9
[2026-04-13 21:11:50] sensor=34.3
[2026-04-13 21:11:51] sensor=34.6
[2026-04-13 21:11:52] sensor=36.8
[2026-04-13 21:11:53] sensor=34.0
[2026-04-13 21:11:54] sensor=22.2
[2026-04-13 21:11:55] sensor=31.1
[2026-04-13 21:11:56] sensor=21.0
[2026-04-13 21:11:57] sensor=20.5
[2026-04-13 21:11:58] sensor=20.1
[2026-04-13 21:11:59] sensor=26.1
[2026-04-13 21:12:00] sensor=33.0
[2026-04-13 21:12:01] sensor=27.8
[2026-04-13 21:12:02] sensor=30.5
[2026-04-13 21:12:03] sensor=32.0
[2026-04-13 21:12:04] sensor=33.6
[2026-04-13 21:12:05] sensor=24.4
[2026-04-13 21:12:06] sensor=22.6
[2026-04-13 21:12:07] sensor=32.2
[2026-04-13 21:12:08] sensor=26.5
[2026-04-13 21:12:09] sensor=30.8
[2026-04-13 21:12:10] sensor=21.6
[2026-04-13 21:12:11] sensor=28.2
[2026-04-13 21:12:12] sensor=25.8
[2026-04-13 21:12:13] sensor=32.4
[2026-04-13 21:12:14] sensor=23.7
[2026-04-13 21:12:15] sensor=26.2
[2026-04-13 21:12:16] sensor=22.4
[2026-04-13 21:12:17] sensor=20.0
[2026-04-13 21:12:18] sensor=23.6
[2026-04-13 21:12:19] sensor=25.2
[2026-04-13 21:12:20] sensor=29.9
[2026-04-13 21:12:21] sensor=37.9
[2026-04-13 21:12:22] sensor=35.0
[2026-04-13 21:12:23] sensor=26.8
[2026-04-13 21:12:24] sensor=27.1
[2026-04-13 21:12:25] sensor=37.3
[2026-04-13 21:12:26] sensor=33.1
[2026-04-13 21:12:27] sensor=28.1
[2026-04-13 21:12:28] sensor=33.0
[2026-04-13 21:12:29] sensor=33.3
[2026-04-13 21:12:30] sensor=29.4
[2026-04-13 21:12:31] sensor=26.0
[2026-04-13 21:12:32] sensor=36.3
[2026-04-13 21:12:33] sensor=39.9
[2026-04-13 21:12:34] sensor=38.1
[2026-04-13 21:12:35] sensor=29.9
[2026-04-13 21:12:36] sensor=39.6
[2026-04-13 21:12:37] sensor=35.9
[2026-04-13 21:12:38] sensor=37.3
[2026-04-13 21:12:39] sensor=21.3
[2026-04-13 21:12:40] sensor=26.8
[2026-04-13 21:12:41] sensor=39.0
[2026-04-13 21:12:42] sensor=29.5
[2026-04-13 21:12:43] sensor=32.6
[2026-04-13 21:12:44] sensor=26.6
[2026-04-13 21:12:45] sensor=28.4
[2026-04-13 21:12:46] sensor=34.0
[2026-04-13 21:12:47] sensor=29.0
[2026-04-13 21:12:48] sensor=28.4
[2026-04-13 21:12:49] sensor=37.6
[2026-04-13 21:12:50] sensor=34.2
[2026-04-13 21:12:51] sensor=33.6
[2026-04-13 21:12:52] sensor=30.7
[2026-04-13 21:12:53] sensor=24.5
[2026-04-13 21:12:54] sensor=35.6
[2026-04-13 21:12:55] sensor=37.9
[2026-04-13 21:12:56] sensor=21.8
[2026-04-13 21:12:57] sensor=28.7
[2026-04-13 21:12:58] sensor=21.2
[2026-04-13 21:12:59] sensor=34.8
[2026-04-13 21:13:00] sensor=37.2
[2026-04-13 21:13:01] sensor=25.9
[2026-04-13 21:13:02] sensor=20.9
[2026-04-13 21:13:03] sensor=33.6
[2026-04-13 21:13:05] sensor=21.0
[2026-04-13 21:13:06] sensor=34.2
[2026-04-13 21:13:07] sensor=38.7
[2026-04-13 21:13:08] sensor=20.6
[2026-04-13 21:13:09] sensor=30.1
[2026-04-13 21:13:10] sensor=31.3
[2026-04-13 21:13:11] sensor=37.2
[2026-04-13 21:13:12] sensor=32.1
[2026-04-13 21:13:13] sensor=25.5
[2026-04-13 21:13:14] sensor=21.9
[2026-04-13 21:13:15] sensor=39.9
[2026-04-13 21:13:16] sensor=32.1
[2026-04-13 21:13:17] sensor=30.4
[2026-04-13 21:13:18] sensor=33.9
[2026-04-13 21:13:19] sensor=21.1
[2026-04-13 21:13:20] sensor=34.0
[2026-04-13 21:13:21] sensor=26.7
[2026-04-13 21:13:22] sensor=30.5
[2026-04-13 21:13:23] sensor=22.8
[2026-04-13 21:13:24] sensor=32.7
[2026-04-13 21:13:25] sensor=35.0
[2026-04-13 21:13:26] sensor=38.4
[2026-04-13 21:13:27] sensor=25.8
[2026-04-13 21:13:28] sensor=32.0
[2026-04-13 21:13:29] sensor=22.4
[2026-04-13 21:13:30] sensor=22.2
[2026-04-13 21:13:31] sensor=26.9
[2026-04-13 21:13:32] sensor=39.6
[2026-04-13 21:13:33] sensor=28.1
[2026-04-13 21:13:34] sensor=23.0
[2026-04-13 21:13:35] sensor=28.4
[2026-04-13 21:13:36] sensor=29.2
[2026-04-13 21:13:37] sensor=37.2
[2026-04-13 21:13:38] sensor=27.2
[2026-04-13 21:13:39] sensor=25.0
[2026-04-13 21:13:40] sensor=22.5
[2026-04-13 21:13:41] sensor=38.5
[2026-04-13 21:13:42] sensor=22.2
[2026-04-13 21:13:43] sensor=29.9
[2026-04-13 21:13:44] sensor=24.0
[2026-04-13 21:13:45] sensor=24.2
[2026-04-13 21:13:46] sensor=29.8
[2026-04-13 21:13:47] sensor=31.3
[2026-04-13 21:13:48] sensor=29.8
[2026-04-13 21:13:49] sensor=39.0
[2026-04-13 21:13:50] sensor=32.4
[2026-04-13 21:13:51] sensor=39.0
[2026-04-13 21:13:52] sensor=20.9
[2026-04-13 21:13:53] sensor=38.1
[2026-04-13 21:13:54] sensor=21.9
[2026-04-13 21:13:55] sensor=33.6
[2026-04-13 21:13:56] sensor=33.2
[2026-04-13 21:13:57] sensor=35.5
[2026-04-13 21:13:58] sensor=39.4
[2026-04-13 21:13:59] sensor=20.4
[2026-04-13 21:14:00] sensor=37.9
[2026-04-13 21:14:01] sensor=36.9
[2026-04-13 21:14:02] sensor=27.3
[2026-04-13 21:14:03] sensor=37.6
[2026-04-13 21:14:04] sensor=25.0
[2026-04-13 21:14:05] sensor=25.5
[2026-04-13 21:14:06] sensor=26.0
[2026-04-13 21:14:07] sensor=34.2
[2026-04-13 21:14:08] sensor=37.9
[2026-04-13 21:14:09] sensor=28.4
[2026-04-13 21:14:10] sensor=39.3
[2026-04-13 21:14:11] sensor=20.5
[2026-04-13 21:14:12] sensor=22.1
[2026-04-13 21:14:13] sensor=36.7
[2026-04-13 21:14:14] sensor=30.4
[2026-04-13 21:14:15] sensor=21.3
[2026-04-13 21:14:16] sensor=36.1
[2026-04-13 21:14:17] sensor=35.4
[2026-04-13 21:14:18] sensor=32.6
[2026-04-13 21:14:19] sensor=25.9
[2026-04-13 21:14:20] sensor=34.4
[2026-04-13 21:14:21] sensor=20.2
[2026-04-13 21:14:22] sensor=20.2
[2026-04-13 21:14:23] sensor=30.6
[2026-04-13 21:14:24] sensor=38.4
[2026-04-13 21:14:25] sensor=22.1
[2026-04-13 21:14:26] sensor=24.2
[2026-04-13 21:14:27] sensor=26.8
[2026-04-13 21:14:28] sensor=32.8
[2026-04-13 21:14:29] sensor=38.9
[2026-04-13 21:14:30] sensor=27.2
[2026-04-13 21:14:31] sensor=30.8
[2026-04-13 21:14:32] sensor=35.8
[2026-04-13 21:14:33] sensor=29.8
[2026-04-13 21:14:34] sensor=23.6
[2026-04-13 21:14:35] sensor=20.8
[2026-04-13 21:14:36] sensor=35.3
[2026-04-13 21:14:37] sensor=24.8
[2026-04-13 21:14:38] sensor=30.3
[2026-04-13 21:14:39] sensor=33.3
[2026-04-13 21:14:40] sensor=33.3
[2026-04-13 21:14:41] sensor=24.8
[2026-04-13 21:14:42] sensor=29.0
[2026-04-13 21:14:43] sensor=35.4
[2026-04-13 21:14:44] sensor=36.7
[2026-04-13 21:14:45] sensor=34.6
[2026-04-13 21:14:46] sensor=36.8
[2026-04-13 21:14:47] sensor=32.9
[2026-04-13 21:14:48] sensor=30.0
[2026-04-13 21:14:49] sensor=24.6
[2026-04-13 21:14:50] sensor=38.8
[2026-04-13 21:14:51] sensor=39.7
[2026-04-13 21:14:52] sensor=24.9
[2026-04-13 21:14:53] sensor=39.0
[2026-04-13 21:14:54] sensor=30.3
[2026-04-13 21:14:55] sensor=23.3
[2026-04-13 21:14:56] sensor=36.3
[2026-04-13 21:14:57] sensor=29.7
[2026-04-13 21:14:58] sensor=25.3
[2026-04-13 21:14:59] sensor=29.2
[2026-04-13 21:15:00] sensor=28.6
[2026-04-13 21:15:01] sensor=32.5
[2026-04-13 21:15:02] sensor=35.2
[2026-04-13 21:15:03] sensor=39.6
[2026-04-13 21:15:04] sensor=37.5
[2026-04-13 21:15:05] sensor=38.8
[2026-04-13 21:15:06] sensor=35.7
[2026-04-13 21:15:07] sensor=32.9
[2026-04-13 21:15:08] sensor=23.6
[2026-04-13 21:15:09] sensor=26.0
[2026-04-13 21:15:10] sensor=21.4
[2026-04-13 21:15:11] sensor=32.1
[2026-04-13 21:15:12] sensor=26.0
[2026-04-13 21:15:13] sensor=30.4
[2026-04-13 21:15:14] sensor=22.8
[2026-04-13 21:15:15] sensor=22.7
[2026-04-13 21:15:16] sensor=25.0
[2026-04-13 21:15:17] sensor=34.8
[2026-04-13 21:15:19] sensor=35.6
[2026-04-13 21:15:20] sensor=30.2
[2026-04-13 21:15:21] sensor=39.4
[2026-04-13 21:15:22] sensor=29.7
[2026-04-13 21:15:23] sensor=29.9
[2026-04-13 21:15:24] sensor=24.3
[2026-04-13 21:15:25] sensor=23.9
[2026-04-13 21:15:26] sensor=20.2
[2026-04-13 21:15:27] sensor=22.8
[2026-04-13 21:15:28] sensor=20.3
[2026-04-13 21:15:29] sensor=30.0
[2026-04-13 21:15:30] sensor=28.1
[2026-04-13 21:15:31] sensor=24.7
[2026-04-13 21:15:32] sensor=33.8
[2026-04-13 21:15:33] sensor=35.9
[2026-04-13 21:15:34] sensor=35.1
[2026-04-13 21:15:35] sensor=33.5
[2026-04-13 21:15:36] sensor=33.4
[2026-04-13 21:15:37] sensor=33.9
[2026-04-13 21:15:38] sensor=29.2
[2026-04-13 21:15:39] sensor=21.5
[2026-04-13 21:15:40] sensor=32.7
[2026-04-13 21:15:41] sensor=30.4
[2026-04-13 21:15:42] sensor=22.9
[2026-04-13 21:15:43] sensor=24.9
[2026-04-13 21:15:44] sensor=36.4
[2026-04-13 21:15:45] sensor=28.5
[2026-04-13 21:15:46] sensor=22.9
[2026-04-13 21:15:47] sensor=34.3
[2026-04-13 21:15:48] sensor=33.5
[2026-04-13 21:15:49] sensor=37.7
[2026-04-13 21:15:50] sensor=30.0
[2026-04-13 21:15:51] sensor=23.8
[2026-04-13 21:15:52] sensor=37.1
[2026-04-13 21:15:53] sensor=34.9
[2026-04-13 21:15:54] sensor=28.9
[2026-04-13 21:15:55] sensor=36.7
[2026-04-13 21:15:56] sensor=38.8
[2026-04-13 21:15:57] sensor=29.2
[2026-04-13 21:15:58] sensor=39.5
[2026-04-13 21:15:59] sensor=34.3
[2026-04-13 21:16:00] sensor=34.4
[2026-04-13 21:16:01] sensor=22.9
[2026-04-13 21:16:02] sensor=39.0
[2026-04-13 21:16:03] sensor=28.2
[2026-04-13 21:16:04] sensor=34.0
[2026-04-13 21:16:05] sensor=34.1
[2026-04-13 21:16:06] sensor=36.9
[2026-04-13 21:16:07] sensor=22.6
[2026-04-13 21:16:08] sensor=23.2
[2026-04-13 21:16:09] sensor=26.1
[2026-04-13 21:16:10] sensor=24.2
[2026-04-13 21:16:11] sensor=36.0
[2026-04-13 21:16:12] sensor=31.7
[2026-04-13 21:16:13] sensor=22.3
[2026-04-13 21:16:14] sensor=36.1
[2026-04-13 21:16:15] sensor=28.1
[2026-04-13 21:16:16] sensor=30.9
[2026-04-13 21:16:17] sensor=39.0
[2026-04-13 21:16:18] sensor=22.5
[2026-04-13 21:16:19] sensor=39.6
[2026-04-13 21:16:20] sensor=36.7
[2026-04-13 21:16:21] sensor=27.7
[2026-04-13 21:16:22] sensor=23.4
[2026-04-13 21:16:23] sensor=29.0
[2026-04-13 21:16:24] sensor=22.6
[2026-04-13 21:16:25] sensor=32.4
[2026-04-13 21:16:26] sensor=25.7
[2026-04-13 21:16:27] sensor=21.4
[2026-04-13 21:16:28] sensor=36.8
[2026-04-13 21:16:29] sensor=20.5
[2026-04-13 21:16:30] sensor=35.8
[2026-04-13 21:16:31] sensor=31.2
[2026-04-13 21:16:32] sensor=38.6
[2026-04-13 21:16:33] sensor=30.0
[2026-04-13 21:16:34] sensor=34.6
[2026-04-13 21:16:35] sensor=32.6
[2026-04-13 21:16:36] sensor=39.4
[2026-04-13 21:16:37] sensor=31.6
[2026-04-13 21:16:38] sensor=35.2
[2026-04-13 21:16:39] sensor=37.8
[2026-04-13 21:16:40] sensor=32.9
[2026-04-13 21:16:41] sensor=34.6
[2026-04-13 21:16:42] sensor=29.0
[2026-04-13 21:16:43] sensor=24.7
[2026-04-13 21:16:44] sensor=37.0
[2026-04-13 21:16:45] sensor=25.1
[2026-04-13 21:16:46] sensor=28.0
[2026-04-13 21:16:47] sensor=23.1
[2026-04-13 21:16:48] sensor=39.3
[2026-04-13 21:16:49] sensor=25.7
[2026-04-13 21:16:50] sensor=22.7
[2026-04-13 21:16:51] sensor=31.2
[2026-04-13 21:16:52] sensor=28.6
[2026-04-13 21:16:53] sensor=21.4
[2026-04-13 21:16:54] sensor=35.5
[2026-04-13 21:16:55] sensor=31.2
[2026-04-13 21:16:56] sensor=29.0
[2026-04-13 21:16:57] sensor=21.2
[2026-04-13 21:16:58] sensor=27.9
[2026-04-13 21:16:59] sensor=21.0
[2026-04-13 21:17:00] sensor=36.9
[2026-04-13 21:17:01] sensor=38.9
[2026-04-13 21:17:02] sensor=27.4
[2026-04-13 21:17:03] sensor=35.5
[2026-04-13 21:17:04] sensor=24.1
[2026-04-13 21:17:05] sensor=22.0
[2026-04-13 21:17:06] sensor=23.3
[2026-04-13 21:17:07] sensor=38.7
[2026-04-13 21:17:08] sensor=28.8
[2026-04-13 21:17:09] sensor=33.8
[2026-04-13 21:17:10] sensor=36.6
[2026-04-13 21:17:11] sensor=37.0
[2026-04-13 21:17:12] sensor=28.4
[2026-04-13 21:17:13] sensor=25.6
[2026-04-13 21:17:14] sensor=21.7
[2026-04-13 21:17:15] sensor=20.6
[2026-04-13 21:17:16] sensor=26.0
[2026-04-13 21:17:17] sensor=24.9
[2026-04-13 21:17:18] sensor=23.7
[2026-04-13 21:17:19] sensor=20.5
[2026-04-13 21:17:20] sensor=25.9
[2026-04-13 21:17:21] sensor=21.7
[2026-04-13 21:17:22] sensor=31.8
[2026-04-13 21:17:23] sensor=34.5
[2026-04-13 21:17:24] sensor=38.3
[2026-04-13 21:17:25] sensor=27.3
[2026-04-13 21:17:26] sensor=25.8
[2026-04-13 21:17:27] sensor=27.3
[2026-04-13 21:17:28] sensor=23.7
[2026-04-13 21:17:29] sensor=28.9
[2026-04-13 21:17:30] sensor=28.3
[2026-04-13 21:17:32] sensor=20.7
[2026-04-13 21:17:33] sensor=27.8
[2026-04-13 21:17:34] sensor=35.7
[2026-04-13 21:17:35] sensor=31.4
[2026-04-13 21:17:36] sensor=27.1
[2026-04-13 21:17:37] sensor=32.9
[2026-04-13 21:17:38] sensor=30.0
[2026-04-13 21:17:39] sensor=25.9
[2026-04-13 21:17:40] sensor=21.8
[2026-04-13 21:17:41] sensor=23.8
[2026-04-13 21:17:42] sensor=22.5
[2026-04-13 21:17:43] sensor=38.8
[2026-04-13 21:17:44] sensor=27.4
[2026-04-13 21:17:45] sensor=23.3
[2026-04-13 21:17:46] sensor=35.7
[2026-04-13 21:17:47] sensor=28.1
[2026-04-13 21:17:48] sensor=29.3
[2026-04-13 21:17:49] sensor=35.8
[2026-04-13 21:17:50] sensor=27.0
[2026-04-13 21:17:51] sensor=29.9
[2026-04-13 21:17:52] sensor=21.7
[2026-04-13 21:17:53] sensor=23.9
[2026-04-13 21:17:54] sensor=36.9
[2026-04-13 21:17:55] sensor=36.3
[2026-04-13 21:17:56] sensor=22.2
[2026-04-13 21:17:57] sensor=39.4
[2026-04-13 21:17:58] sensor=37.3
[2026-04-13 21:17:59] sensor=24.7
[2026-04-13 21:18:00] sensor=23.1
[2026-04-13 21:18:01] sensor=26.2
[2026-04-13 21:18:02] sensor=28.2
[2026-04-13 21:18:03] sensor=39.0
[2026-04-13 21:18:04] sensor=29.2
[2026-04-13 21:18:05] sensor=39.1
[2026-04-13 21:18:06] sensor=25.7
[2026-04-13 21:18:07] sensor=31.5
[2026-04-13 21:18:08] sensor=32.1
[2026-04-13 21:18:09] sensor=35.7
[2026-04-13 21:18:10] sensor=37.4
[2026-04-13 21:18:11] sensor=29.1
[2026-04-13 21:18:12] sensor=34.7
[2026-04-13 21:18:13] sensor=35.1
[2026-04-13 21:18:14] sensor=23.1
[2026-04-13 21:18:15] sensor=22.1
[2026-04-13 21:18:16] sensor=33.7
[2026-04-13 21:18:17] sensor=34.0
[2026-04-13 21:18:18] sensor=25.4
[2026-04-13 21:18:19] sensor=23.0
[2026-04-13 21:18:20] sensor=29.8
[2026-04-13 21:18:21] sensor=32.5
[2026-04-13 21:18:22] sensor=28.1
[2026-04-13 21:18:23] sensor=31.6
[2026-04-13 21:18:24] sensor=31.6
